strike	2021-09-02	2021-09-03	2021-09-07	2021-09-08	2021-09-09	2021-09-10	2021-09-13	2021-09-14	2021-09-15	2021-09-16
16975	1375.61	1324.61	1301.32	1357.24	1417.91	1533.45	1536.91	1591.43	1471.59	1459.08
17000	1400.55	1349.56	1326.29	1382.21	1442.46	1558.44	1561.91	1616.43	1496.59	1484.08
17025	1425.49	1374.50	1351.26	1407.19	1467.44	1583.43	1586.91	1641.43	1521.59	1509.08
17050	1450.44	1399.46	1376.23	1432.15	1492.41	1608.42	1611.91	1666.43	1546.59	1534.08
17075	1475.38	1424.41	1401.19	1457.12	1517.38	1633.42	1636.91	1691.43	1571.59	1559.08
17100	1500.33	1449.37	1426.16	1482.09	1542.35	1658.42	1661.91	1716.43	1596.59	1584.08
17125	1525.28	1474.33	1451.13	1507.06	1567.32	1683.41	1686.91	1741.43	1621.59	1609.08
17150	1550.23	1499.30	1476.10	1532.04	1592.30	1708.41	1711.91	1766.43	1646.59	1634.08
17175	1575.19	1524.25	1501.06	1557.00	1617.27	1733.40	1736.91	1791.43	1671.59	1659.08
17200	1600.15	1549.21	1526.03	1581.98	1642.24	1758.40	1761.91	1816.43	1696.59	1684.08
17225	1625.12	1574.17	1551.00	1606.95	1667.21	1783.40	1786.91	1841.43	1721.59	1709.08
17250	1650.09	1599.13	1575.97	1631.92	1692.18	1808.40	1811.91	1866.43	1746.59	1734.08
17275	1675.06	1624.09	1600.94	1656.89	1717.16	1833.40	1836.91	1891.43	1771.59	1759.08
17300	1700.03	1649.05	1625.91	1681.86	1742.13	1858.40	1861.91	1916.43	1796.59	1784.08
17325	1725.00	1674.01	1650.88	1706.83	1766.91	1883.39	1886.91	1941.43	1821.59	1809.08
17350	1749.97	1698.98	1675.85	1731.81	1792.08	1908.39	1911.91	1966.43	1846.59	1834.08
17375	1774.94	1723.94	1700.83	1756.79	1816.91	1933.39	1936.91	1991.43	1871.59	1859.08
17400	1799.92	1748.90	1725.81	1781.77	1842.03	1958.39	1961.91	2016.43	1896.59	1884.08
17425	1824.89	1773.86	1750.79	1806.76	1867.01	1983.39	1986.91	2041.43	1921.59	1909.08
17450	1849.87	1798.82	1775.78	1831.74	1891.99	2008.39	2011.91	2066.43	1946.59	1934.08
17475	1874.83	1823.78	1800.76	1856.73	1916.90	2033.39	2036.91	2091.43	1971.59	1959.08
17500	1899.81	1848.74	1825.75	1881.72	1941.97	2058.39	2061.91	2116.43	1996.59	1984.08
17525	1924.79	1873.70	1850.74	1906.72	1966.96	2083.39	2086.91	2141.43	2021.59	2009.08
17550	1949.76	1898.67	1875.73	1931.71	1991.95	2108.39	2111.91	2166.43	2046.59	2034.08
17575	1974.73	1923.65	1900.72	1956.70	2016.95	2133.39	2136.91	2191.43	2071.59	2059.08
